GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,CalculatorOperations,1,53,0,0,1,17,0,11,0,11
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},98,0,11,0,29,0,12,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,CalculatorAdvancedOperationsClass,1,43,0,0,1,13,0,9,0,9
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
project-reports,com.calculator_annas,MainForm,543,0,6,0,138,0,7,0,4,0
